Name,Position,Height,Weight,Last Attended,Country
Jerry Bird,Forward,"'6'6""",210,Kentucky,USA
Larry Bird,Forward,"'6'9""",220,Indiana State,USA
Otis Birdsong,Guard,"'6'3""",190,Houston,USA
Gale Bishop,Forward,"'6'3""",195,Washington State,USA
Goga Bitadze,Center-Forward,"'6'10""",250,Mega Basket,Georgia
Onuralp Bitim,Forward,"'6'6""",215,Bursaspor,Turkey
Bismack Biyombo,Center,"'6'8""",255,Baloncesto Fuenlabrada,DRC
Nemanja Bjelica,Forward,"'6'9""",234,Fenerbahce,Serbia
Uwe Blab,Center,"'7'1""",252,Indiana,USA
Anthony Black,Guard,"'6'7""",200,Arkansas,USA
Charlie Black,Forward,"'6'4""",200,Kansas,USA
Leaky Black,Forward,"'6'6""",209,North Carolina,USA
Norman Black,Guard,"'6'5""",185,St. Joseph's (PA),USA
Tarik Black,Forward-Center,"'6'9""",250,Kansas,USA
Tom Black,Center,"'6'10""",220,South Dakota State,USA
Rolando Blackman,Guard,"'6'6""",190,Kansas State,USA
Alex Blackwell,Forward,"'6'6""",250,Monmouth,USA
Cory Blackwell,Forward,"'6'6""",210,Wisconsin,USA
James Blackwell,Guard,"'6'0""",190,Dartmouth,USA
Nate Blackwell,Guard,"'6'4""",170,Temple,USA
DeJuan Blair,Center-Forward,"'6'7""",270,Pittsburgh,USA
Steve Blake,Guard,"'6'3""",172,Maryland,USA
Marqus Blakely,Forward,"'6'5""",225,Vermont,USA
Antonio Blakeney,Guard,"'6'4""",192,Louisiana State,USA
Will Blalock,Guard,"'6'0""",205,Iowa State,USA
George Blaney,Guard,"'6'1""",175,Holy Cross,USA
Lance Blanks,Guard,"'6'4""",190,Texas,USA
Ricky Blanton,Forward,"'6'7""",215,Louisiana State,USA
Andray Blatche,Center-Forward,"'6'11""",260,South Kent HS (CT),USA
Mookie Blaylock,Guard,',,Oklahoma,USA
Eric Bledsoe,Guard,"'6'1""",214,Kentucky,USA
Keljin Blevins,Guard,"'6'4""",200,Montana State,USA
Leon Blevins,Guard,"'6'2""",160,Arizona,USA
John Block,Forward,"'6'10""",207,Southern California,USA
Mike Bloom,Center,"'6'6""",190,Temple,USA
