Name,Position,Height,Weight,Last Attended,Country
Sean Singletary,Guard,"'6'0""",185,Virginia,USA
Chris Singleton,Forward,"'6'9""",228,Florida State,USA
James Singleton,Forward,"'6'8""",230,Murray State,USA
Mckinley Singleton,Forward,"'6'5""",175,Alabama-Birmingham,USA
Zeke Sinicola,Guard,"'5'10""",165,Niagara,USA
Deividas Sirvydis,Forward-Guard,"'6'8""",190,Lietuvos rytas Vilnius,Lithuania
Charlie Sitton,Forward,"'6'8""",210,Oregon State,USA
Peyton Siva,Guard,"'6'0""",185,Louisville,USA
Scott Skiles,Guard,"'6'1""",180,Michigan State,USA
Al Skinner,Guard,"'6'3""",190,Massachusetts,USA
Brian Skinner,Forward-Center,"'6'9""",255,Baylor,USA
Talvin Skinner,Forward,"'6'5""",195,Maryland-Eastern Shore,USA
Whitey Skoog,Guard,"'5'11""",180,Minnesota,USA
Jeff Slade,Forward,"'6'6""",220,Kenyon,USA
Reggie Slater,Forward,"'6'7""",255,Wyoming,USA
Jim Slaughter,Center,"'6'11""",210,South Carolina,USA
Jose Slaughter,Guard,"'6'5""",205,Portland,USA
Jalen Slawson,Forward,"'6'7""",215,Furman,USA
Tamar Slay,Guard,"'6'8""",220,Marshall,USA
Donald Sloan,Guard,"'6'3""",205,Texas A&M,USA
Jerry Sloan,Guard,"'6'5""",195,Evansville,USA
Uros Slokar,Forward,"'6'10""",238,Benetton Treviso,Slovenia
Tom Sluby,Guard,"'6'4""",200,Notre Dame,USA
Alen Smailagic,Forward,"'6'10""",215,Beko,Serbia
Javonte Smart,Guard,"'6'4""",205,Louisiana State,USA
Keith Smart,Guard,"'6'1""",175,Indiana,USA
Marcus Smart,Guard,"'6'3""",220,Oklahoma State,USA
Belus Smawley,Guard,"'6'1""",195,Appalachian State,USA
Jack Smiley,Guard,"'6'3""",190,Illinois,USA
Adrian Smith,Guard,"'6'1""",180,Kentucky,USA
Bill Smith,Center,"'7'0""",220,Syracuse,USA
Bill Smith,Forward,"'6'5""",190,St. Peter's,USA
Bingo Smith,Forward,"'6'5""",195,Tulsa,USA
Bobby Smith,Guard,"'6'4""",190,West Virginia,USA
Charles Smith,Forward,"'6'10""",244,Pittsburgh,USA
Charles Smith,Guard,"'6'4""",200,New Mexico,USA
Charles Smith,Forward,"'6'1""",160,Georgetown,USA
Chris Smith,Guard,"'6'3""",190,Connecticut,USA
Chris Smith,Guard,"'6'2""",200,Louisville,USA
Clinton Smith,Forward,"'6'6""",210,Cleveland State,USA
Craig Smith,Forward,"'6'7""",265,Boston College,USA
Deb Smith,Forward,"'6'3""",180,Utah,USA
Derek Smith,Guard,"'6'6""",205,Louisville,USA
Don Smith,Guard,"'6'0""",160,Dayton,USA
Donald Smith,Forward,"'6'2""",190,Minnesota,USA
Donta Smith,Guard,"'6'7""",215,Southeastern Illinois,USA
Doug Smith,Forward,"'6'10""",220,Missouri,USA
Dru Smith,Guard,"'6'2""",203,Missouri,USA
Ed Smith,Forward,"'6'6""",180,Harvard,USA
Elmore Smith,Center,"'7'1""",250,Kentucky State,USA
Garfield Smith,Center,"'6'9""",235,Eastern Kentucky,USA
Greg Smith,Forward,"'6'5""",195,Western Kentucky,USA
Greg Smith,Center,"'6'10""",250,Fresno State,USA
Ish Smith,Guard,"'6'0""",175,Wake Forest,USA
JR Smith,Guard,"'6'6""",220,St. Benedict's Prep (NJ),USA
Jabari Smith,Center,"'6'11""",250,Louisiana State,USA
Jalen Smith,Forward-Center,"'6'9""",215,Maryland,USA
Jason Smith,Forward-Center,"'7'0""",240,Colorado State,USA
Jerry Smith,Guard,"'6'2""",190,Louisville,USA
Jim Smith,Forward,"'6'9""",225,Ohio State,USA
Joe Smith,Forward-Center,"'6'10""",225,Maryland,USA
Josh Smith,Forward,"'6'9""",225,Oak Hill Academy (VA),USA
Keith Smith,Guard,"'6'3""",180,Loyola-Marymount,USA
Kenny Smith,Guard,"'6'3""",170,North Carolina,USA
Labradford Smith,Forward,"'6'3""",200,Louisville,USA
Larry Smith,Forward,"'6'8""",215,Alcorn State,USA
Leon Smith,Forward,"'6'10""",235,Martin Luther King HS (IL),USA
Michael Smith,Forward,"'6'8""",240,Providence,USA
Michael Smith,Guard,"'6'10""",225,Brigham Young,USA
Mike Smith,Forward,"'6'8""",195,Louisiana-Monroe,USA
Nolan Smith,Guard,"'6'2""",185,Duke,USA
Otis Smith,Forward,"'6'5""",210,Jacksonville,USA
Phil Smith,Guard,"'6'4""",185,San Francisco,USA
Randy Smith,Guard,"'6'3""",180,Buffalo State,USA
Reggie Smith,Forward,"'6'10""",240,TCU,USA
Robert Smith,Guard,"'5'11""",165,UNLV,USA
Russ Smith,Guard,"'6'0""",165,Louisville,USA
Sammy Smith,Forward,"'6'4""",200,UNLV,USA
Steven Smith,Guard-Forward,"'6'8""",221,Michigan State,USA
Steven Smith,Forward,"'6'9""",250,La Salle,USA
Stevin Smith,Guard,"'6'2""",208,Arizona State,USA
Terquavion Smith,Guard,"'6'4""",160,North Carolina State,USA
Theron Smith,Forward,"'6'8""",225,Ball State,USA
Tony Smith,Guard,',,Marquette,USA
Willie Smith,Guard,"'6'2""",170,Missouri,USA
Zhaire Smith,Guard,"'6'3""",205,Texas Tech,USA
Dennis Smith Jr.,Guard,"'6'3""",205,North Carolina State,USA
Jabari Smith Jr.,Forward,"'6'11""",220,Auburn,USA
Nick Smith Jr.,Guard,"'6'2""",185,Arkansas,USA
Rik Smits,Center,"'7'4""",265,Marist,USA
Mike Smrek,Center,"'7'0""",250,Canisius,USA
Joe Smyth,Forward,"'6'3""",215,Niagara,USA
Xavier Sneed,Forward,"'6'5""",215,Kansas State,USA
Tony Snell,Guard,"'6'6""",213,New Mexico,USA
Eric Snow,Guard,"'6'3""",205,Michigan State,USA
Dick Snyder,Guard,"'6'5""",207,Davidson,USA
Kirk Snyder,Forward-Guard,"'6'6""",225,Nevada,USA
George Sobek,Guard,"'6'0""",180,Notre Dame,USA
Ricky Sobers,Guard,"'6'3""",198,UNLV,USA
Ron Sobie,Guard,"'6'3""",185,DePaul,USA
Jeremy Sochan,Forward,"'6'8""",230,Baylor,Poland
Mike Sojourner,Center,"'6'9""",225,Utah,USA
Will Solomon,Guard,"'6'1""",185,Clemson,USA
Willie Somerset,Guard,"'5'8""",170,Duquesne,USA
Darius Songaila,Forward,"'6'9""",248,Wake Forest,Lithuania
Dave Sorenson,Forward,"'6'8""",225,Ohio State,USA
James Southerland,Forward,"'6'8""",215,Syracuse,USA
Gino Sovran,Forward,"'6'2""",175,Detroit,USA
Pape Sow,Forward,"'6'10""",250,California State-Fullerton,Senegal
Ray Spalding,Forward,"'6'9""",225,Louisville,USA
Jim Spanarkel,Guard,"'6'5""",190,Duke,USA
Vassilis Spanoulis,Guard,"'6'4""",195,Panathinaikos,Greece
Guy Sparrow,Forward,"'6'6""",218,Detroit,USA
Rory Sparrow,Guard,"'6'2""",175,Villanova,USA
Odie Spears,Forward,"'6'5""",205,Western Kentucky,USA
Art Spector,Forward,"'6'4""",200,Villanova,USA
Marreese Speights,Forward-Center,"'6'10""",255,Florida,USA
Omari Spellman,Forward,"'6'8""",245,Villanova,USA
Andre Spencer,Forward,"'6'6""",210,Northern Arizona,USA
Elmore Spencer,Center,"'7'0""",270,UNLV,USA
Felton Spencer,Center,"'7'0""",290,Louisville,USA
Lou Spicer,Forward,"'6'2""",195,Syracuse,USA
Craig Spitzer,Center,"'7'0""",225,Tulane,USA
Tiago Splitter,Center-Forward,"'6'11""",245,Bilbao,Brazil
Art Spoelstra,Center,"'6'9""",220,Western Kentucky,USA
Latrell Sprewell,Guard,"'6'5""",195,Alabama,USA
Larry Spriggs,Forward,"'6'7""",230,Howard,USA
Jaden Springer,Guard,"'6'4""",202,Tennessee,USA
Jim Springer,Center,"'6'9""",235,Canterbury,USA
Jim Spruill,Forward,"'6'2""",225,Rice,USA
Ryan Stack,Forward,"'6'11""",215,South Carolina,USA
Jerry Stackhouse,Forward,"'6'6""",218,North Carolina,USA
Kevin Stacom,Guard,"'6'3""",185,Providence,USA
Dave Stallworth,Forward,"'6'7""",200,Wichita State,USA
Isaac Stallworth,Forward,"'6'5""",190,Kansas,USA
Ed Stanczak,Forward,"'6'1""",185,Central HS (IN),USA
Cassius Stanley,Guard,"'6'5""",190,Duke,USA
Terence Stansbury,Guard,"'6'5""",170,Temple,USA
John Starks,Guard,"'6'5""",190,Oklahoma State,USA
Keith Starr,Guard,"'6'6""",190,Pittsburgh,USA
Nik Stauskas,Guard,"'6'6""",207,Michigan,Canada
Larry Staverman,Forward,"'6'7""",205,Thomas More,USA
Larry Steele,Guard,"'6'5""",180,Kentucky,USA
Matt Steigenga,Forward,"'6'7""",225,Michigan State,USA
Vladimir Stepania,Center,"'7'1""",255,Union Olimpija,Georgia
DJ Stephens,Guard-Forward,"'6'5""",188,Memphis,USA
Everette Stephens,Guard,"'6'2""",175,Purdue,USA
Jack Stephens,Guard,"'6'3""",185,Notre Dame,USA
Joe Stephens,Forward,"'6'7""",210,Arkansas-Little Rock,USA
Lance Stephenson,Forward,"'6'5""",210,Cincinnati,USA
Alex Stepheson,Forward,"'6'10""",270,Southern California,USA
Brook Steppe,Guard,"'6'5""",195,Georgia Tech,USA
Barry Stevens,Guard,"'6'5""",195,Iowa State,USA
Lamar Stevens,Forward,"'6'7""",230,Penn State,USA
Wayne Stevens,Forward,"'6'3""",185,Cincinnati,USA
DeShawn Stevenson,Forward-Guard,"'6'5""",218,Washington Union HS (CA),USA
DJ Stewart,Guard,"'6'5""",205,Mississippi State,USA
Dennis Stewart,Forward,"'6'6""",220,Michigan,USA
Isaiah Stewart,Forward-Center,"'6'8""",250,Washington,USA
Kebu Stewart,Forward,"'6'8""",239,California State-Bakersfield,USA
Larry Stewart,Forward,"'6'8""",230,Coppin State,USA
Michael Stewart,Center,"'6'10""",230,California,USA
Norm Stewart,Forward,"'6'5""",205,Missouri,USA
Greg Stiemsma,Center,"'6'11""",260,Wisconsin,USA
Steve Stipanovich,Center,"'6'11""",245,Missouri,USA
Bryant Stith,Guard,"'6'5""",210,Virginia,USA
Sam Stith,Guard,"'6'2""",185,St. Bonaventure,USA
Tom Stith,Forward,"'6'5""",210,St. Bonaventure,USA
Alex Stivrins,Forward,"'6'8""",220,Colorado,USA
David Stockton,Guard,"'5'11""",165,Gonzaga,USA
John Stockton,Guard,"'6'1""",175,Gonzaga,USA
Peja Stojakovic,Forward,"'6'10""",229,PAOK,Serbia
Ed Stokes,Center,"'7'0""",264,Arizona,USA
Greg Stokes,Forward,"'6'10""",220,Iowa,USA
Jarnell Stokes,Forward-Center,"'6'9""",255,Tennessee,USA
Maurice Stokes,Forward,"'6'7""",232,St. Francis (PA),USA
Art Stolkey,Guard,"'6'1""",180,Detroit,USA
Diamond Stone,Center,"'6'11""",255,Maryland,USA
Julyan Stone,Guard,"'6'6""",200,Texas-El Paso,USA
Awvee Storey,Forward-Guard,"'6'6""",225,Arizona State,USA
Damon Stoudamire,Guard,"'5'10""",171,Arizona,USA
Salim Stoudamire,Guard,"'6'1""",175,Arizona,USA
Amar'e Stoudemire,Forward-Center,"'6'10""",245,Cypress Creek HS (FL),USA
Paul Stovall,Forward,"'6'4""",215,Arizona State,USA
DJ Strawberry,Guard,"'6'5""",201,Maryland,USA
Joe Strawder,Center,"'6'10""",235,Bradley,USA
Julian Strawther,Guard,"'6'6""",205,Gonzaga,USA
Bill Stricker,Forward,"'6'8""",210,Pacific,USA
Erick Strickland,Guard,"'6'3""",218,Nebraska,USA
Mark Strickland,Forward,"'6'10""",220,Temple,USA
Rod Strickland,Guard,"'6'3""",185,DePaul,USA
Roger Strickland,Forward,"'6'5""",200,Jacksonville,USA
John Stroeder,Forward,"'6'10""",260,Montana,USA
Derek Strong,Forward,"'6'9""",240,Xavier,USA
Lamont Strothers,Guard,"'6'4""",190,Christopher Newport,USA
John Stroud,Forward,"'6'7""",215,Mississippi,USA
Max Strus,Guard-Forward,"'6'5""",215,DePaul,USA
Rodney Stuckey,Guard,"'6'5""",205,Eastern Washington,USA
Gene Stump,Forward,"'6'2""",185,DePaul,USA
Stan Stutz,Guard,"'5'10""",170,Rhode Island,USA
Jalen Suggs,Guard,"'6'5""",205,Gonzaga,USA
Gary Suiter,Center,"'6'9""",225,Midwestern State,USA
Jared Sullinger,Center-Forward,"'6'9""",260,Ohio State,USA
DaJuan Summers,Forward,"'6'8""",240,Georgetown,USA
Edmond Sumner,Guard,"'6'4""",196,Xavier,USA
Barry Sumpter,Forward,"'6'11""",215,Austin Peay,USA
Sun Sun,Guard,"'6'9""",205,Beijing,China
Don Sunderlage,Guard,"'6'1""",180,Illinois,USA
Bruno Sundov,Center,"'7'2""",260,Split,Croatia
Jon Sundvold,Guard,"'6'2""",170,Missouri,USA
Bob Sura,Guard,"'6'5""",200,Florida State,USA
Dick Surhoff,Forward,"'6'4""",210,Long Island-Brooklyn,USA
Dane Suttle,Guard,"'6'3""",190,Pepperdine,USA
Greg Sutton,Guard,"'6'2""",185,Oral Roberts,USA
Bennie Swain,Forward,"'6'8""",220,Texas Southern,USA
Caleb Swanigan,Forward,"'6'9""",260,Purdue,USA
Norm Swanson,Forward,"'6'6""",210,Detroit,USA
Dan Swartz,Forward,"'6'4""",215,Morehead State,USA
Michael Sweetney,Forward,"'6'8""",270,Georgetown,USA
Cole Swider,Forward,"'6'8""",220,Syracuse,USA
Robert Swift,Center,"'7'1""",270,Bakersfield HS (CA),USA
Stromile Swift,Forward-Center,"'6'10""",220,Louisiana State,USA
Aaron Swinson,Forward,"'6'5""",230,Auburn,USA
Craig Sword,Guard,"'6'3""",196,Mississippi State,USA
Pape Sy,Forward-Guard,"'6'7""",225,Le Havre,France
Wallace Sydnor,Guard,"'5'10""",175,Western Kentucky,USA
Keifer Sykes,Guard,"'5'11""",167,Wisconsin-Green Bay,USA
Larry Sykes,Forward,"'6'9""",255,Xavier,USA
Brett Szabo,Center,"'6'11""",230,Augustana (SD),USA
Wally Szczerbiak,Guard-Forward,"'6'7""",240,Miami (Ohio),USA
Zan Tabak,Center,"'7'0""",257,Olimpia Milano,Croatia
Yuta Tabuse,Guard,"'5'9""",165,Brigham Young-Hawaii,USA
Chris Taft,Forward,"'6'10""",261,Pittsburgh,USA
Sid Tannenbaum,Guard,"'6'0""",160,New York University,USA
Dragan Tarlac,Center-Forward,"'6'11""",270,Olympiacos,Serbia
Roy Tarpley,Forward,"'7'0""",230,Michigan,USA
Jae'Sean Tate,Forward,"'6'4""",230,Ohio State,USA
Earl Tatum,Guard,"'6'4""",185,Marquette,USA
Jayson Tatum,Forward-Guard,"'6'8""",210,Duke,USA
Edy Tavares,Center,"'7'3""",265,Gran Canaria,Cabo Verde
Anthony Taylor,Guard,"'6'4""",175,Oregon,USA
Brian Taylor,Guard,"'6'2""",185,Princeton,USA
Donell Taylor,Guard,"'6'5""",193,Alabama-Birmingham,USA
Fred Taylor,Guard,"'6'5""",180,Texas-Pan American,USA
Isaiah Taylor,Guard,"'6'3""",170,Texas,USA
Jay Taylor,Forward,"'6'3""",190,Eastern Illinois,USA
Jeff Taylor,Guard,"'6'4""",175,Texas Tech,USA
Jeffery Taylor,,',,Vanderbilt,Sweden
Jermaine Taylor,Guard,"'6'4""",210,Central Florida,USA
Johnny Taylor,Forward,"'6'9""",220,Tennessee-Chattanooga,USA
Leonard Taylor,Forward,"'6'8""",220,California,USA
Maurice Taylor,Forward-Center,"'6'9""",265,Michigan,USA
Mike Taylor,Guard,"'6'2""",165,Iowa State,USA
Roland Taylor,Guard,"'6'0""",175,La Salle,USA
Terry Taylor,Forward,"'6'4""",230,Austin Peay,USA
Tyshawn Taylor,Guard,"'6'3""",185,Kansas,USA
Vince Taylor,Guard,"'6'5""",180,Duke,USA
Terry Teagle,Guard,"'6'5""",195,Baylor,USA
Jeff Teague,Guard,"'6'3""",195,Wake Forest,USA
Marquis Teague,Guard,"'6'2""",189,Kentucky,USA
Mirza Teletovic,Forward,"'6'9""",242,Baskonia,Bosnia and Herzegovina
Sebastian Telfair,Guard,"'6'0""",170,Abraham Lincoln HS (NY),USA
Garrett Temple,Guard-Forward,"'6'5""",195,Louisiana State,USA
Milos Teodosic,Guard,"'6'5""",196,CSKA Moscow,Serbia
Ira Terrell,Forward,"'6'8""",200,Southern Methodist,USA
Jared Terrell,Guard,"'6'3""",227,Rhode Island,USA
Carlos Terry,Guard,"'6'4""",210,Winston-Salem State,USA
Chuck Terry,Guard,"'6'6""",215,Long Beach State,USA
Claude Terry,Guard,"'6'5""",195,Stanford,USA
Dalen Terry,Forward,"'6'7""",195,Arizona,USA
Emanuel Terry,Forward,"'6'9""",220,Lincoln Memorial,USA
Jason Terry,Guard,"'6'2""",185,Arizona,USA
Tyrell Terry,Guard,"'6'2""",160,Stanford,USA
Jon Teske,Center,"'7'1""",265,Michigan,USA
Hasheem Thabeet,Center,"'7'3""",263,Connecticut,Tanzania
Tom Thacker,Guard,"'6'2""",170,Cincinnati,USA
Daniel Theis,Forward-Center,"'6'8""",245,Brose Bamberg,Germany
Reggie Theus,Guard,"'6'6""",190,UNLV,USA
Peter Thibeaux,Forward,"'6'7""",210,Saint Mary's,USA
Bill Thieben,Forward,"'6'6""",215,Hofstra,USA
Justus Thigpen,Guard,"'6'1""",160,Weber State,USA
David Thirdkill,Forward,"'6'7""",195,Bradley,USA
Adonis Thomas,Guard-Forward,"'6'7""",240,Memphis,USA
Billy Thomas,Guard,"'6'5""",220,Kansas,USA
Brodric Thomas,Guard,"'6'5""",185,Truman State,USA
Cam Thomas,Guard,"'6'3""",210,Louisiana State,Japan
Carl Thomas,Guard,"'6'4""",195,Eastern Michigan,USA
Charles Thomas,Guard,"'6'3""",175,Eastern Michigan,USA
Etan Thomas,Center,"'6'10""",260,Syracuse,USA
Irving Thomas,Forward,"'6'8""",225,Florida State,USA
Isaiah Thomas,Guard,"'5'9""",185,Washington,USA
Isiah Thomas,Guard,"'6'1""",180,Indiana,USA
Jamel Thomas,Forward,"'6'6""",219,Providence,USA
James Thomas,Forward,"'6'9""",245,Texas,USA
Jim Thomas,Guard,"'6'3""",190,Indiana,USA
Joe Thomas,Forward,"'6'6""",205,Marquette,USA
John Thomas,Center,"'6'9""",265,Minnesota,USA
Kenny Thomas,Center-Forward,"'6'7""",245,New Mexico,USA
Khyri Thomas,Guard,"'6'3""",210,Creighton,USA
Kurt Thomas,Forward,"'6'9""",240,TCU,USA
Lance Thomas,Forward,"'6'8""",225,Duke,USA
Malcolm Thomas,Forward,"'6'9""",225,San Diego State,USA
Matt Thomas,Guard,"'6'3""",190,Iowa State,USA
Terry Thomas,Forward,"'6'8""",220,Detroit,USA
Tim Thomas,Forward,"'6'10""",240,Villanova,USA
Tyrus Thomas,Forward,"'6'10""",225,Louisiana State,USA
Trey Thompkins,Forward,"'6'10""",245,Georgia,USA
Amen Thompson,Guard-Forward,"'6'7""",200,Overtime Elite,USA
Ausar Thompson,Guard-Forward,"'6'6""",205,Overtime Elite,USA
Bernard Thompson,Guard,"'6'6""",210,Fresno State,USA
Billy Thompson,Forward,"'6'7""",195,Louisville,USA
Brooks Thompson,Guard,"'6'4""",193,Oklahoma State,USA
Corny Thompson,Forward,"'6'8""",225,Connecticut,USA
David Thompson,Guard,"'6'4""",195,North Carolina State,USA
Dijon Thompson,Guard-Forward,"'6'8""",200,UCLA,USA
George Thompson,Guard,"'6'2""",200,Marquette,USA
Hollis Thompson,Forward,"'6'8""",206,Georgetown,USA
Jason Thompson,Forward-Center,"'6'11""",250,Rider,USA
John Thompson,Forward,"'6'10""",225,Providence,USA
Kevin Thompson,Center,"'6'11""",260,North Carolina State,USA
Klay Thompson,Guard,"'6'6""",220,Washington State,USA
LaSalle Thompson,Center,"'6'10""",245,Texas,USA
Mychal Thompson,Center,"'6'10""",226,Minnesota,USA
Mychel Thompson,Forward,"'6'6""",211,Pepperdine,USA
Paul Thompson,Guard,"'6'6""",210,Tulane,USA
Stephen Thompson,Forward,"'6'4""",185,Syracuse,USA
Tristan Thompson,Center-Forward,"'6'9""",254,Texas-Austin,Canada
JT Thor,Forward,"'6'9""",203,Auburn,USA
Rod Thorn,Guard,"'6'4""",195,West Virginia,USA
Al Thornton,Forward,"'6'8""",235,Florida State,USA
Bob Thornton,Forward,"'6'10""",225,California-Irvine,USA
Marcus Thornton,Guard-Forward,"'6'4""",205,Louisiana State,USA
Sindarius Thornwell,Guard,"'6'4""",215,South Carolina,USA
Otis Thorpe,Center-Forward,"'6'10""",248,Providence,USA
Sedale Threatt,Guard,"'6'2""",185,West Virginia Tech,USA
Nate Thurmond,Center,"'6'11""",225,Bowling Green,USA
Mel Thurston,Guard,"'6'0""",175,Canisius,USA
Matisse Thybulle,Guard-Forward,"'6'5""",201,Washington,USA
Howard Tidrick,Guard,"'6'1""",190,Washington & Jefferson,USA
Dan Tieman,Guard,"'6'0""",185,Thomas More,USA
Killian Tillie,Forward-Center,"'6'9""",220,Gonzaga,France
Darren Tillis,Center,"'6'11""",215,Cleveland State,USA
Xavier Tillman,Forward,"'6'7""",245,Michigan State,USA
Jack Tingle,Forward,"'6'4""",205,Kentucky,USA
Jamaal Tinsley,Guard,"'6'3""",188,Iowa State,USA
Wayman Tisdale,Forward,"'6'9""",260,Oklahoma,USA
Mike Tobey,Center,"'7'0""",260,Virginia,USA
Isaiah Todd,Forward,"'6'9""",219,NBA G League Ignite,USA
Marko Todorovich,Forward,"'6'5""",220,Wyoming,USA
Ray Tolbert,Forward,"'6'9""",225,Indiana,USA
Tom Tolbert,Forward,"'6'7""",235,Arizona,USA
Anthony Tolliver,Forward,"'6'8""",240,Creighton,USA
Dean Tolson,Forward,"'6'8""",190,Arkansas,USA
Rudy Tomjanovich,Forward,"'6'8""",218,Michigan,USA
Andrew Toney,Guard,"'6'3""",178,Louisiana-Lafayette,USA
Sedric Toney,Guard,"'6'2""",178,Dayton,USA
Andy Tonkovich,Guard,"'6'1""",185,Marshall,USA
Andy Toolson,Forward,"'6'6""",210,Brigham Young,USA
Jack Toomay,Center,"'6'6""",215,Pacific,USA
Bernard Toone,Forward,"'6'9""",210,Marquette,USA
Jacob Toppin,Forward,"'6'8""",200,Kentucky,USA
Obi Toppin,Forward,"'6'9""",220,Dayton,USA
Irv Torgoff,Forward,"'6'1""",192,Long Island-Brooklyn,USA
Gene Tormohlen,Center,"'6'8""",230,Tennessee,USA
Oscar Torres,Guard-Forward,"'6'6""",210,Trotamundos,Venezuela
Juan Toscano-Anderson,Forward,"'6'6""",209,Marquette,USA
Bill Tosheff,Guard,"'6'1""",175,Indiana,USA
Bob Tough,Guard,"'6'0""",185,St. John's (NY),USA
Axel Toupane,Guard-Forward,"'6'7""",210,Strasbourg IG,France
Monte Towe,Guard,"'5'7""",150,North Carolina State,USA
Keith Tower,Center,"'6'11""",250,Notre Dame,USA
William Towery,Center,"'6'4""",210,Western Kentucky,USA
Linton Townes,Forward,"'6'7""",190,James Madison,USA
Karl-Anthony Towns,Center-Forward,"'7'0""",248,Kentucky,USA
Raymond Townsend,Guard,"'6'3""",175,UCLA,USA
George Trapp,Forward,"'6'8""",205,Long Beach State,USA
John Trapp,Forward,"'6'7""",210,UNLV,USA
Robert Traylor,Forward-Center,"'6'8""",284,Michigan,USA
Gary Trent,Forward,"'6'8""",250,Ohio,USA
Gary Trent Jr.,Guard,"'6'5""",204,Duke,USA
Jeff Trepagnier,Guard,"'6'4""",200,Southern California,USA
John Tresvant,Forward,"'6'7""",215,Seattle,USA
Allonzo Trier,Guard,"'6'4""",200,Arizona,USA
Dick Triptow,Guard,"'6'0""",170,DePaul,USA
Kelly Tripucka,Forward,"'6'6""",220,Notre Dame,USA
Cezary Trybanski,Center,"'7'2""",240,Znicz Pruszkow,Poland
Jake Tsakalidis,Center,"'7'2""",290,AEK Athens,Greece
John Tschogl,Forward,"'6'6""",206,California-Santa Barbara,USA
Oscar Tshiebwe,Forward-Center,"'6'8""",255,Kentucky,DRC
Lou Tsioropoulos,Forward,"'6'5""",190,Kentucky,USA
Nikoloz Tskitishvili,Forward,"'7'0""",225,Benetton Treviso,Georgia
Al Tucker,Forward,"'6'8""",190,Oklahoma Baptist,USA
Alando Tucker,Forward,"'6'6""",205,Wisconsin,USA
Anthony Tucker,Forward,"'6'8""",220,Wake Forest,USA
Jim Tucker,Forward,"'6'7""",185,Duquesne,USA
P.J. Tucker,Forward,"'6'5""",245,Texas,USA
Rayjon Tucker,Guard,"'6'3""",209,Arkansas-Little Rock,USA
Trent Tucker,Guard,"'6'5""",193,Minnesota,USA
Ronny Turiaf,Center,"'6'10""",249,Gonzaga,France
Mirsad Turkcan,Forward,"'6'9""",216,Efes Pilsen,Turkey
Hedo Turkoglu,Forward,"'6'10""",220,Efes Pilsen,Turkey
Andre Turner,Guard,"'5'11""",160,Memphis,USA
Bill Turner,Forward,"'6'7""",220,Akron,USA
Elston Turner,Guard,"'6'5""",190,Mississippi,USA
Evan Turner,Guard-Forward,"'6'6""",220,Ohio State,USA
Henry Turner,Guard,"'6'7""",200,California State-Fullerton,USA
Jack Turner,Guard,"'6'4""",170,Western Kentucky,USA
Jack Turner,Guard,"'6'5""",200,Louisville,USA
Jeff Turner,Forward,"'6'9""",230,Vanderbilt,USA
John Turner,Forward,"'6'8""",245,Phillips,USA
Myles Turner,Center-Forward,"'6'11""",250,Texas,USA
Wayne Turner,Guard,"'6'2""",190,Kentucky,USA
Mel Turpin,Center,"'6'11""",240,Kentucky,USA
Dave Twardzik,Guard,"'6'1""",175,Old Dominion,USA
Jack Twyman,Forward,"'6'6""",210,Cincinnati,USA
B.J. Tyler,Guard,"'6'1""",185,Texas,USA
Jeremy Tyler,Forward,"'6'10""",250,Tokyo Apache,USA
Terry Tyler,Forward,"'6'7""",215,Detroit,USA
Charlie Tyra,Center,"'6'8""",230,Louisville,USA
Hunter Tyson,Forward,"'6'8""",215,Clemson,USA
Edwin Ubiles,Forward-Guard,"'6'6""",204,Siena,Puerto Rico
Ekpe Udoh,Center-Forward,"'6'10""",245,Baylor,USA
Ime Udoka,Guard-Forward,"'6'5""",220,Portland State,USA
Beno Udrih,Guard,"'6'3""",205,Olimpia Milano,Slovenia
Roko Ukic,Guard,"'6'5""",190,Virtus Roma,Croatia
Tyler Ulis,Guard,"'5'10""",160,Kentucky,USA
Stanley Umude,Guard,"'6'6""",210,Arkansas,USA
Wes Unseld,Center,"'6'7""",245,Louisville,USA
Hal Uplinger,Guard,"'6'4""",185,Long Island-Brooklyn,USA
Kelvin Upshaw,Guard,"'6'2""",180,Utah,USA
Jarrod Uthoff,Forward,"'6'9""",220,Iowa,USA
Ben Uzoh,Guard,"'6'3""",205,Tulsa,USA
Robert Vaden,Guard-Forward,"'6'5""",205,Alabama-Birmingham,USA
Jonas Valanciunas,Center,"'6'11""",265,Lietuvos rytas Vilnius,Lithuania
Darnell Valentine,Guard,"'6'2""",183,Kansas,USA
Denzel Valentine,Guard,"'6'4""",220,Michigan State,USA
Ron Valentine,Forward,"'6'7""",210,Old Dominion,USA
John Vallely,Guard,"'6'3""",185,UCLA,USA
Dick Van Arsdale,Guard,"'6'5""",210,Indiana,USA
Tom Van Arsdale,Forward,"'6'5""",202,Indiana,USA
Butch Van Breda Kolff,Guard-Forward,"'6'3""",185,New York University,USA
Jan Van Breda Kolff,Forward,"'6'7""",195,Vanderbilt,USA
Nick Van Exel,Guard,"'6'1""",190,Cincinnati,USA
Keith Van Horn,Forward,"'6'10""",245,Utah,USA
Norm Van Lier,Guard,"'6'1""",173,St. Francis (PA),USA
Fred VanVleet,Guard,"'6'0""",197,Wichita State,USA
Gene Vance,Guard,"'6'3""",195,Illinois,USA
Log Vander Velden,Forward,"'6'8""",215,Wisconsin-Green Bay,USA
